RequirementText,_class_,cleaned_text
The adjuster shall request recycled parts audit collision estimate.,F,adjuster shall request recycled part audit collision estimate
The recycled parts search results provided estimator shall retrieved system.,F,recycled part search result provided estimator shall retrieved system
The system shall generate audit report based available recycled parts collision estimate.,F,system shall generate audit report based available recycled part collision estimate
The audit report shall include total number recycled parts used estimate.,F,audit report shall include total number recycled part used estimate
The audit report shall include number available recycled parts original search results.,F,audit report shall include number available recycled part original search result
The audit report shall include percentage available recycled parts used estimate,F,audit report shall include percentage available recycled part used estimate
The audit report shall include total score audit sums indivual line items.,F,audit report shall include total score audit sum indivual line item
The audit report shall displayed user.,F,audit report shall displayed user
The audit report shall available adjusters later points time.,F,audit report shall available adjuster later point time
The user shall select view preferred repair facility ratings.,F,user shall select view preferred repair facility rating
The current repair facility ratings shall displayed user.,F,current repair facility rating shall displayed user
The system display blank set ratings ratings yet defined.,F,system display blank set rating rating yet defined
The user shall enter new ratings based audit report,F,user shall enter new rating based audit report
The ratings shall scale 1-10,F,rating shall scale
The ratings shall include categories attempted use recycled parts actual use recycled parts,F,rating shall include category attempted use recycled part actual use recycled part
The user shall select save preferred repair facility ratings.,F,user shall select save preferred repair facility rating
The preferred repair facility ratings shall saved system.,F,preferred repair facility rating shall saved system
The product must work database management systems (DBMS) market whether DBMS colocated product machine located different machine computer network.,O,product must work database management system dbms market whether dbms colocated product machine located different machine computer network
The product function alongside server software operating system Java runtime installed.,O,product function alongside server software operating system java runtime installed
The product require collaboration database management system (DBMS). The DBMS may located machine product separate machine residing computer network.,O,product require collaboration database management system dbms dbms may located machine product separate machine residing computer network
The product must make use web/application server technology. Open source examples include Apache web server Tomcat JBoss application server.,O,product must make use web application server technology open source example include apache web server tomcat jboss application server
A database management system Oracle DB2 MySql HSQL need integrated product.,O,database management system oracle mysql hsql need integrated product
The product\92s Look Feel shall able incorporate aspects customer\92s organization logo branding identity,LF,product look feel shall able incorporate aspect customer organization logo branding identity
The product shall conservative professional appearance.,LF,product shall conservative professional appearance
The product shall make users want use it. 80% users surveyed report regularly using product first 2 weeks post-launch.,US,product shall make user want use user surveyed report regularly using product first week post launch
The product shall easy use. 90% users able successfully reserve conference room within 5 minutes product use.,US,product shall easy use user able successfully reserve conference room within minute product use
The product shall give users feedback necessary. 80% users surveyed report product accurately confirms actions.,US,product shall give user feedback necessary user surveyed report product accurately confirms action
The product shall allow user select chosen language one target market countries.,US,product shall allow user select chosen language one target market country
The product shall allow customization start page views preferences.,US,product shall allow customization start page view preference
An employee able successfully use product within minutes. After informally navigating product less 15 minutes users shall able successfully setup meetings reserve conference rooms.,US,employee able successfully use product within minute informally navigating product less minute user shall able successfully setup meeting reserve conference room
The product shall use standard navigation menu familiar web users.,US,product shall use standard navigation menu familiar web user
The product shall allow intuitive searching available conference rooms.,US,product shall allow intuitive searching available conference room
The product shall conform Americans Disabilities Act.,US,product shall conform american disability act
The response shall fast enough avoid interrupting user\92s flow thought. 90% tasks shall complete within 5 seconds. 98% tasks shall complete within 8 seconds.,PE,response shall fast enough avoid interrupting user flow thought task shall complete within second task shall complete within second
Aside server failure software product shall achieve 99.99% time.,A,aside server failure software product shall achieve time
The product shall create exception log problems encountered within product transmission company analysis resolution.,FT,product shall create exception log problem encountered within product transmission company analysis resolution
The product shall capable handling 1 000 concurrent requests. This number increase 2 000 Release 2. The concurrency capacity must able handle peak scheduling times early morning late afternoon hours.,SC,product shall capable handling concurrent request number increase release concurrency capacity must able handle peak scheduling time early morning late afternoon hour
The product shall able process 10 000 transactions per hour within two years launch. This number increase 20 000 Release 2.,SC,product shall able process transaction per hour within two year launch number increase release
The product shall expected operate least 5 years customer installation.,SC,product shall expected operate least year customer installation
The product shall used office environments.,O,product shall used office environment
The product must able interface HTML browser. The product shall transmit data user product without problems. The product shall display HTML properly 80% HTML browsers tested (minimum test 8 browsers).,O,product must able interface html browser product shall transmit data user product without problem product shall display html properly html browser tested minimum test browser
The product must able interface various database management systems. The product shall communicate successfully database management system 100% transactions.,O,product must able interface various database management system product shall communicate successfully database management system transaction
The product must able interface various email servers. The product shall able send email.,O,product must able interface various email server product shall able send email
The product shall available distribution via Internet binary ZIP file.,O,product shall available distribution via internet binary zip file
The product shall available distribution packaged CD.,O,product shall available distribution packaged
The product available licensing one-server two-five servers five-or-more servers license.,O,product available licensing one server two five server five server license
A new user must able added system within 10 minutes. 90% new users able log system within 10 minutes.,US,new user must able added system within minute new user able log system within minute
The product must designed using Design Patterns coding best practices. 90% maintenance software developers able integrate new functionality product 2 working days.,MN,product must designed using design pattern coding best practice maintenance software developer able integrate new functionality product working day
The product must highly configurable use various database management systems end users. 80% end users able integrate new database management systems product without changing product\92s software code.,MN,product must highly configurable use various database management system end user end user able integrate new database management system product without changing product software code
Maintenance releases offered customers year. The releases shall take longer 5 minutes 80% customer base install.,MN,maintenance release offered customer year release shall take longer minute customer base install
Every registered user access product\92s support site via Internet. 70% registered users shall find solution problem within 5 minutes using support site.,US,every registered user access product support site via internet registered user shall find solution problem within minute using support site
The customer shall able easily integrate new building maps product throughout product\92s lifecycle. Integration new maps product shall possible little support product support staff.,MN,customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff
The product shall translated foreign languages target market countries\92 languages future releases. For emerging target market shall take 5 days configure product market\92s language.,US,product shall translated foreign language target market country language future release emerging target market shall take day configure product market language
The product expected integrate multiple database management systems. The product operate Oracle SQL Server DB2 MySQL HSQL MS Access.,O,product expected integrate multiple database management system product operate oracle sql server mysql hsql access
The product shall able installed operating environment within 2 days.,O,product shall able installed operating environment within day
The product shall ensure company employees external users company-approved user IDs may product access. 100% logons shall either company employees external users company-approved user IDs.,SE,product shall ensure company employee external user company approved user id may product access logons shall either company employee external user company approved user id
Only managers able perform search queries reservations user. 100% search queries reservations user shall logons management logons.,SE,manager able perform search query reservation user search query reservation user shall logons management logons
The product shall ensure database\92s data corresponds data entered user. Each conference room reservation system contain information entered user.,SE,product shall ensure database data corresponds data entered user conference room reservation system contain information entered user
The product shall prevent input malicious data. The product and/or adjacent hardware/software systems\92 data shall remain 100% uncorrupted time malicious data input product.,SE,product shall prevent input malicious data product adjacent hardware software system data shall remain uncorrupted time malicious data input product
The product and/or dependent databases/filesystems shall remain operational result input malicious data. The product and/or dependent databases/filesystems shall crash 100% time malicious data input product.,FT,product dependent database filesystems shall remain operational result input malicious data product dependent database filesystems shall crash time malicious data input product
The product shall ability receive automatic software updates new threats emerge. 100% customers able receive automatic software updates transmitted installed product.,SE,product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmitted installed product
The language product shall accommodate target market countries. 90% survey respondents target market country find language product acceptable.,SC,language product shall accommodate target market country survey respondent target market country find language product acceptable
The product shall able display calendar dates times according user\92s locale. 90% survey respondents target market country find date time formatting product correct.,US,product shall able display calendar date time according user locale survey respondent target market country find date time formatting product correct
The product must developed J2SE/J2EE programming language libraries,O,product must developed jse jee programming language library
The product shall record meeting entries.,F,product shall record meeting entry
The product notify employees meeting invitations.,F,product notify employee meeting invitation
The product shall ability send meeting reminders employees.,F,product shall ability send meeting reminder employee
The product shall assign organizers contact information meeting create.,F,product shall assign organizer contact information meeting create
The product record meeting acknowledgements.,F,product record meeting acknowledgement
The product shall store new conference rooms.,F,product shall store new conference room
The product shall update existing conference rooms.,F,product shall update existing conference room
The product able delete conference rooms.,F,product able delete conference room
The product shall able store new room equipment.,F,product shall able store new room equipment
The product update existing room equipment.,F,product update existing room equipment
The product shall able delete room equipment.,F,product shall able delete room equipment
The product shall allow organizer invite employees meetings.,F,product shall allow organizer invite employee meeting
Each time conference room reserved conference room schedule shall updated reflect time date reservation.,F,time conference room reserved conference room schedule shall updated reflect time date reservation
The product shall record transportation status equipment reserved.,F,product shall record transportation status equipment reserved
The product shall display map company building showing conference room locations.,F,product shall display map company building showing conference room location
The product shall record updated meeting agendas.,F,product shall record updated meeting agenda
The product shall send meeting confirmation meeting organizer.,F,product shall send meeting confirmation meeting organizer
The product shall display room equipment according search parameters.,F,product shall display room equipment according search parameter
The product shall display conference rooms according search parameters.,F,product shall display conference room according search parameter
The product shall record different meeting types.,F,product shall record different meeting type
The product shall record equipment reserved.,F,product shall record equipment reserved
The product shall notify building personnel equipment transport requests.,F,product shall notify building personnel equipment transport request
The product allow priviledged users view meeting schedules multiple reporting views.,F,product allow priviledged user view meeting schedule multiple reporting view
The product shall able send meeting notifications via different kinds end-user specified methods.,F,product shall able send meeting notification via different kind end user specified method
The product shall customizable Look Feel.,F,product shall customizable look feel
The product shall intuitive user interface.,F,product shall intuitive user interface
The product display available status unreserved conference rooms.,F,product display available status unreserved conference room
Recreation Inventory Quantity Adjustment period previous 30 days shall take 30min.,PE,recreation inventory quantity adjustment period previous day shall take min
The System shall allow minimum 6 users work time.,PE,system shall allow minimum user work time
The System shall utilize currently owned computer equipment.,O,system shall utilize currently owned computer equipment
The System shall able automatically backup business data restore demand.,O,system shall able automatically backup business data restore demand
The System shall maintain consistent security. Any changes user passwords and/or permissions take affect parts System.,SE,system shall maintain consistent security change user password permission take affect part system
The System shall granularly control access rights major subsystems. It possible assign access rights subsystems independently.,SE,system shall granularly control access right major subsystem possible assign access right subsystem independently
The System shall meet applicable accounting standards. The final version System must successfully pass independent audit performed certified auditor.,L,system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor
The System shall require additional third party licenses resulting royalty fees.,O,system shall require additional third party license resulting royalty fee
The System shall allow generation Inventory Quantity Adjustment documents demand.,F,system shall allow generation inventory quantity adjustment document demand
The System shall allow demand generation Inventory Quantity Adjustment documents since certain point time.,F,system shall allow demand generation inventory quantity adjustment document since certain point time
The IQA subsystem shall take account current inventory status adjust inventory substitutionary ingredients accordingly.,F,iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly
The System shall allow entering storing modifying product formulas.,F,system shall allow entering storing modifying product formula
Product formulas shall allow use semi-products formulas.,F,product formula shall allow use semi product formula
Product formula ingredients shall allow defining substitutionary ingredients.,F,product formula ingredient shall allow defining substitutionary ingredient
Product formula substitutionary ingredients shall entered automatically PFE subsystem.,F,product formula substitutionary ingredient shall entered automatically pfe subsystem
Formula substitutionary ingredients shall kept persisted order,F,formula substitutionary ingredient shall kept persisted order
Product shall allow entering storing modifying product menus used POS terminals.,F,product shall allow entering storing modifying product menu used po terminal
PME Subsystem shall allow building product menus based list products kept accounting system.,F,pme subsystem shall allow building product menu based list product kept accounting system
PME Subsystem shall allow keeping submenus within menus products within submenus managed persisted order.,F,pme subsystem shall allow keeping submenu within menu product within submenu managed persisted order
PME Subsystem shall allow product exist one submenu,F,pme subsystem shall allow product exist one submenu
The RMS System shall Windows XP look feel use GUI futures making use intuitive.,F,rms system shall window look feel use gui future making use intuitive
The System shall generate Inventory Quantity Adjustment document based product daily sales data product formulas.,F,system shall generate inventory quantity adjustment document based product daily sale data product formula
The System shall generate Inventory Quantity Adjustment document automatically daily Product Sales data available.,F,system shall generate inventory quantity adjustment document automatically daily product sale data available
Administrator shall able activate pre-paid card via Administration section 5 seconds.,PE,administrator shall able activate pre paid card via administration section second
Customer shall able check status prepaid card entering PIN number 5 seconds.,PE,customer shall able check status prepaid card entering pin number second
System shall let customers register website \93pay go\94 user 5 minutes.,PE,system shall let customer register website pay user minute
System shall let customers register website \93unlimited movie subscriber\94 user 10 minutes.,PE,system shall let customer register website unlimited movie subscriber user minute
System shall let existing customers log website email address password 5 seconds.,PE,system shall let existing customer log website email address password second
System shall let customers cancel account process shall take longer 2 minutes. Database mark account inactive user able log website.,PE,system shall let customer cancel account process shall take longer minute database mark account inactive user able log website
System shall let administrator de-activate customer account 1 minute. Customer longer able access website.,PE,system shall let administrator activate customer account minute customer longer able access website
System shall let administrator add/remove movies website 5 minutes. Entered movie information stored database available website.,PE,system shall let administrator add remove movie website minute entered movie information stored database available website
System shall let administrator add/remove categories website 5 minutes.,PE,system shall let administrator add remove category website minute
System shall let Izogn Manager access sales usage statistics 2 minutes.,PE,system shall let izogn manager access sale usage statistic minute
System shall let administrators generate unique pre-paid pins 2 minutes generate Excel file generated PINs.,PE,system shall let administrator generate unique pre paid pin minute generate excel file generated pin
The website shall attractive audiences. The website shall appear fun colors bright vibrant.,LF,website shall attractive audience website shall appear fun color bright vibrant
The website African feel alienate non-Africans. The website use animation pages describing services grab users attention encourage sign up.,LF,website african feel alienate non african website use animation page describing service grab user attention encourage sign
The website design modern clean concise.,LF,website design modern clean concise
The product able used 90% novice users Internet.,US,product able used novice user internet
Users navigate maximum 4 pages create account website.,US,user navigate maximum page create account website
Users able access streaming movies 2 clicks logging website.,US,user able access streaming movie click logging website
An anonymous survey show 70% customers comfortable purchasing streaming movies 2 weeks using website.,US,anonymous survey show customer comfortable purchasing streaming movie week using website
An anonymous survey show 95% customers comfortable using purchasing pre-paid cards month using system.,US,anonymous survey show customer comfortable using purchasing pre paid card month using system
The product shall retain customer\92s buying preferences information.,US,product shall retain customer buying preference information
The product shall easy customers novice skills Internet purchase watch streaming movies. Customers able purchase watch pre-determined movie 3 minutes.,US,product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch pre determined movie minute
The product shall use symbols words naturally understandable users familiar websites,US,product shall use symbol word naturally understandable user familiar website
The website use standard Internet conventions interacting user.,US,website use standard internet convention interacting user
Any interface user automated system shall maximum response time 5 seconds unless noted exception below.,PE,interface user automated system shall maximum response time second unless noted exception
When purchasing streaming movie pre-paid card via credit card processing time maximum response time 15 seconds.,PE,purchasing streaming movie pre paid card via credit card processing time maximum response time second
When streaming movie buffering time take longer 10 seconds (plus latency user\92s connection.),PE,streaming movie buffering time take longer second plus latency user connection
While streaming movie buffering occur latency user\92s connection.,PE,streaming movie buffering occur latency user connection
All credit card information secured server accessible authorized Izogn administrators. Information encrypted database.,SE,credit card information secured server accessible authorized izogn administrator information encrypted database
The website shall available use 24 hours per day 365 days per year.,A,website shall available use hour per day day per year
The website shall achieve 99.5% time.,A,website shall achieve time
All movies shall streamed demand time day.,A,movie shall streamed demand time day
The website shall continue operate streaming server goes down.,FT,website shall continue operate streaming server go
The website shall continue operate payment gateway goes down.,FT,website shall continue operate payment gateway go
The streaming server support 50 simultaneous streaming connections.,SC,streaming server support simultaneous streaming connection
The streaming server support maximum 700 movies; new servers added support movies.,SC,streaming server support maximum movie new server added support movie
The server support maximum 1 000 simultaneous users.,SC,server support maximum simultaneous user
The website shall capable supporting 100 000 customers.,SC,website shall capable supporting customer
The product shall expected operate within maximum maintenance budget minimum 2 years.,MN,product shall expected operate within maximum maintenance budget minimum year
All aspects website shall accessed web browser Internet.,O,aspect website shall accessed web browser internet
The hardware supporting current website used support new system.,O,hardware supporting current website used support new system
We must able interface following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x Firefox 1.0.,O,must able interface following browser netscape firefox
Website must interface CyberSource API process credit card transactions.,O,website must interface cybersource api process credit card transaction
Website must fully operational MSN TV2.,O,website must fully operational msn
Movies shall encoded streamed via Windows Media Player 9.0.,O,movie shall encoded streamed via window medium player
Movies shall encoded 56k 256k streams.,O,movie shall encoded stream
Promotional updates website take day update.,MN,promotional update website take day update
Izogn Administrator must able update category listings website within 2 minutes.,PE,izogn administrator must able update category listing website within minute
Izogn Administrator must able add new products website within 2 minutes.,PE,izogn administrator must able add new product website within minute
The system provide 24 hour 800 toll free number support customers.,A,system provide hour toll free number support customer
The website provide help section answers solutions common problems.,US,website provide help section answer solution common problem
Velkat staff available phone support 7am-7pm M-F provide technical support Izogn administrators.,A,velkat staff available phone support provide technical support izogn administrator
The product shall able installed specified environment within 1 working day.,O,product shall able installed specified environment within working day
Only registered customers purchase streaming movies.,SE,registered customer purchase streaming movie
A customer stream movie purchased within 2 day viewing period.,SE,customer stream movie purchased within day viewing period
Only authorized personnel access customer records database.,SE,authorized personnel access customer record database
Only administrators activate pre-paid card.,SE,administrator activate pre paid card
Only authorized personnel access sales information.,SE,authorized personnel access sale information
The website shall prevent data corrupted incorrect data entered in.,SE,website shall prevent data corrupted incorrect data entered
The website shall protect intentional abuse notify administrator occurrences.,SE,website shall protect intentional abuse notify administrator occurrence
Data integrity scripts run weekly basis verify integrity database.,SE,data integrity script run weekly basis verify integrity database
The website shall make user aware information practices collection data via Privacy Policy accessible pages website.,SE,website shall make user aware information practice collection data via privacy policy accessible page website
The system shall notify customers changes information policy.,SE,system shall notify customer change information policy
The system shall reveal private information compliance organization\92s information policy.,SE,system shall reveal private information compliance organization information policy
All customer information stored secure database accessible authorized personnel.,SE,customer information stored secure database accessible authorized personnel
All credit card information encrypted database.,SE,credit card information encrypted database
The streaming server anti-virus software prevent infection malicious viruses.,SE,streaming server anti virus software prevent infection malicious virus
The website cater tribes Nigeria.,LF,website cater tribe nigeria
The website shall offensive religious ethnic groups.,LF,website shall offensive religious ethnic group
The website appeal Africans Nigerians.,LF,website appeal african nigerian
The website use Flash provide animation home page.,O,website use flash provide animation home page
IzognMovies shall meet licensing requirements set forth appropriate organizations order stream African movies.,L,izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie
The website comply W3C standards.,L,website comply standard
The PHP code comply PEAR standards.,L,php code comply pear standard
The website allow customers search movies title actor director.,F,website allow customer search movie title actor director
viewing movie details website display movies description actor director entered administrator.,F,viewing movie detail website display movie description actor director entered administrator
Website shall request authorize credit card payment allowing user stream movie.,F,website shall request authorize credit card payment allowing user stream movie
shall able stream purchased movie via Windows Media Player 2 days aftere purchase date.,F,shall able stream purchased movie via window medium player day aftere purchase date
Website shall allow customers browse movies categories entered izogn administrator.,F,website shall allow customer browse movie category entered izogn administrator
Website shall allow customers view reviews selected movies customers.,F,website shall allow customer view review selected movie customer
Website shall allow customers add movie review selected movie.,F,website shall allow customer add movie review selected movie
Website shall allow Izogn administrator approve review posted customer.,F,website shall allow izogn administrator approve review posted customer
System allow customers pay streaming movie pre-paid card.,F,system allow customer pay streaming movie pre paid card
Website shall allow customers purchase pre-paid cards $5 $10 $20 value either credit card mail-in payment option.,F,website shall allow customer purchase pre paid card value either credit card mail payment option
System shall automatically update main page website every Friday show 4 latest movies added website.,F,system shall automatically update main page website every friday show latest movie added website
System shall allow users update billing contact information via \93My Account\94 section website.,F,system shall allow user update billing contact information via account section website
Pre-paid cards shall distributed via email via printed paper card.,F,pre paid card shall distributed via email via printed paper card
Movies streamed customer purchased movie within 2-day time period stream movie.,F,movie streamed customer purchased movie within day time period stream movie
Website must able support free trial periods various parameters set Izogn Manager.,F,website must able support free trial period various parameter set izogn manager
All streaming movie sales logged database accessible administrator.,F,streaming movie sale logged database accessible administrator
All registered customer information shall stored maintained database even customer cancels account.,F,registered customer information shall stored maintained database even customer cancel account
Daily usage statistics logged accessible administrator.,F,daily usage statistic logged accessible administrator
The owner shall free access streaming movies.,F,owner shall free access streaming movie
Total lead cycle time must completed 5 minutes 90% lead volume business hours 8AM CST 8PM CST; 3 minutes 99% lead volume business hours.,PE,total lead cycle time must completed minute lead volume business hour cst cst minute lead volume business hour
No lead evaluation complete time period longer 25 seconds 97% leads processed.,PE,lead evaluation complete time period longer second lead processed
For leads process longer 25 seconds system record event duration,PE,lead process longer second system record event duration
The process must fit within processing time conditions set forth Auto Rep Assignment process lead assigned within 3 minutes total life cycle.,PE,process must fit within processing time condition set forth auto rep assignment process lead assigned within minute total life cycle
The lead washing process operate within established physical web service structure.,O,lead washing process operate within established physical web service structure
The washing process must use non binding neutral data format xml receiving processing lead data.,O,washing process must use non binding neutral data format xml receiving processing lead data
Defect reports available technical units 24x7 basis.,A,defect report available technical unit basis
Washing parameters updated scheduled maintenance hours.,MN,washing parameter updated scheduled maintenance hour
The vendor verify invalid lead.,F,vendor verify invalid lead
Vendor submit credit validation record applied enterprise billing system.,F,vendor submit credit validation record applied enterprise billing system
If lead scored high range system supply lead data score enterprise system.,F,lead scored high range system supply lead data score enterprise system
The leads washing functionality validate leads received web service valid data,F,lead washing functionality validate lead received web service valid data
The leads washing functionality insert leads captured web service.,F,lead washing functionality insert lead captured web service
If leads score falls within high average score process ARA functionality.,F,lead score fall within high average score process ara functionality
If leads score falls within medium average set manual verification Enrollment Coordinator eleads system.,F,lead score fall within medium average set manual verification enrollment coordinator eleads system
If leads score falls within low average returned supplying vendor,F,lead score fall within low average returned supplying vendor
The leads washing functionality compile contact academic scoring information total score.,F,lead washing functionality compile contact academic scoring information total score
The leads washing functionality use parameters supplied corporate schools score part lead.,F,lead washing functionality use parameter supplied corporate school score part lead
The leads washing functionality return lead data supplied vendor along reason rejection.,F,lead washing functionality return lead data supplied vendor along reason rejection
The leads washing functionality interface lead data parameters maintained.,F,lead washing functionality interface lead data parameter maintained
The leads washing functionality verify users authentication rights make parameter updates.,F,lead washing functionality verify user authentication right make parameter update
The leads washing functionality store potential lead duplicates returned enterprise system.,F,lead washing functionality store potential lead duplicate returned enterprise system
Prior submitting lead enterprise system leads washing functionality assign lead admissions rep.,F,prior submitting lead enterprise system lead washing functionality assign lead admission rep
The leads washing functionality shall receive period list available reps enterprise system.,F,lead washing functionality shall receive period list available rep enterprise system
The product shall simulate look ships sea.,LF,product shall simulate look ship sea
The product shall display grids within circle view periscope.,LF,product shall display grid within circle view periscope
The product shall display type ship grid using image specific type ship.,LF,product shall display type ship grid using image specific type ship
When offensive player takes shot product shall simulate sound ship sea.,LF,offensive player take shot product shall simulate sound ship sea
When shot marked miss product shall simulate sound shot missing target.,LF,shot marked miss product shall simulate sound shot missing target
When shot marked hit product shall simulate sound shot hitting target.,LF,shot marked hit product shall simulate sound shot hitting target
When ship sunk product shall simulate sound sinking ship.,LF,ship sunk product shall simulate sound sinking ship
The product shall available 24 hours per day seven days per week.,A,product shall available hour per day seven day per week
The product shall able handle large number games simultaneously.,PE,product shall able handle large number game simultaneously
The response time shall fast enough maintain flow game. The response time shall 2 seconds 95% responses 4% remaining responses.,PE,response time shall fast enough maintain flow game response time shall second response remaining response
The product shall protect identity players. The product shall provide players access information might reveal identity another player.,PE,product shall protect identity player product shall provide player access information might reveal identity another player
The product shall intuitive self-explanatory. Nine ten users shall able successfully complete game training.,US,product shall intuitive self explanatory nine ten user shall able successfully complete game training
The product shall available players understand English Spanish French. The product shall allow user select language upon accessing product.,US,product shall available player understand english spanish french product shall allow user select language upon accessing product
The product shall provide players access information might reveal identity another player,SE,product shall provide player access information might reveal identity another player
The response time shall fast enough maintain flow game. The response time shall 2 seconds 95% responses 4% remaining responses.,PE,response time shall fast enough maintain flow game response time shall second response remaining response
The product shall maintain list players.,F,product shall maintain list player
The product shall allow user identify player.,F,product shall allow user identify player
Once game initiated product shall make players assigned game unavailable selection list players.,F,game initiated product shall make player assigned game unavailable selection list player
The product shall allow user remove list players time.,F,product shall allow user remove list player time
The product shall make inactive players unavailable selection list players.,F,product shall make inactive player unavailable selection list player
The product shall remove players inactive 24 hours list players.,F,product shall remove player inactive hour list player
The product shall allow player initiate game selecting another available player list players.,F,product shall allow player initiate game selecting another available player list player
Once game initiated product shall display defensive grid player,F,game initiated product shall display defensive grid player
Once game initiated product shall display offensive grid player.,F,game initiated product shall display offensive grid player
The product shall prevent player viewing offensive defensive grids player.,F,product shall prevent player viewing offensive defensive grid player
Once game initiated product shall allow player position 5 ships respective defensive grids.,F,game initiated product shall allow player position ship respective defensive grid
The product shall allow player position ships horizontally grid.,F,product shall allow player position ship horizontally grid
The product shall allow player position ships vertically grid.,F,product shall allow player position ship vertically grid
The product shall allow player position ships diagonally grid,F,product shall allow player position ship diagonally grid
The product shall prevent player overlapping ships grid.,F,product shall prevent player overlapping ship grid
When players positioned 5 ships defensive grids product shall define status player first turn.,F,player positioned ship defensive grid product shall define status player first turn
For turn product shall identify one player offensive status one player defensive status.,F,turn product shall identify one player offensive status one player defensive status
The product shall maintain status player turn either offensive defensive.,F,product shall maintain status player turn either offensive defensive
At start turn product shall notify player status.,F,start turn product shall notify player status
For turn product shall allow offensive player define shot.,F,turn product shall allow offensive player define shot
For shot product shall examine defensive grid defensive player determine whether shot hit miss.,F,shot product shall examine defensive grid defensive player determine whether shot hit miss
For shot product shall notify players whether shot hit miss.,F,shot product shall notify player whether shot hit miss
For shot product shall mark shot hit miss defensive grid defensive player.,F,shot product shall mark shot hit miss defensive grid defensive player
For shot product shall mark shot hit miss offensive grid offensive player.,F,shot product shall mark shot hit miss offensive grid offensive player
When hit results sinking ship product shall notify players ship sunk.,F,hit result sinking ship product shall notify player ship sunk
When hit results sinking ship product shall mark ship sunk defensive grid defensive player.,F,hit result sinking ship product shall mark ship sunk defensive grid defensive player
When hit results sinking ship product shall indicate type ship sunk defensive grid defensive player.,F,hit result sinking ship product shall indicate type ship sunk defensive grid defensive player
When hit results sinking ship product shall mark ship sunk offensive grid offensive player.,F,hit result sinking ship product shall mark ship sunk offensive grid offensive player
If shot marked hit product shall allow offensive player define shot.,F,shot marked hit product shall allow offensive player define shot
If shot marked miss product shall change status offensive player defensive,F,shot marked miss product shall change status offensive player defensive
If shot marked miss product shall change status defensive player offensive,F,shot marked miss product shall change status defensive player offensive
The product shall continue assign turns game ended.,F,product shall continue assign turn game ended
The product shall end game hit offensive player results sinking last defensive player\92s ships previously marked sunk.,F,product shall end game hit offensive player result sinking last defensive player ship previously marked sunk
The product shall allow player end game time game.,F,product shall allow player end game time game
When game ended product shall notify players game ended.,F,game ended product shall notify player game ended
The notification game ending include reason game ended (i.e. player game player ended game).,F,notification game ending include reason game ended player game player ended game
When game ended product shall allow player identify available player list players.,F,game ended product shall allow player identify available player list player
When game ended product shall allow player remove list players.,F,game ended product shall allow player remove list player
The system shall easy use callers supervisors. Callers supervisors must able accomplish system task within 2 minutes.,US,system shall easy use caller supervisor caller supervisor must able accomplish system task within minute
The system shall easy learn callers supervisors. Callers supervisors shall learn use system within 10 minutes.,US,system shall easy learn caller supervisor caller supervisor shall learn use system within minute
The system shall responsive. At DePaul TeleServices Center supervisor uses system view callers schedule system response time must 2 seconds 90% time 5 seconds rest time.,PE,system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must second time second rest time
On 56k connection system response time operations must 6 seconds 90% time.,PE,connection system response time operation must second time
On 112k connection faster system response time operations must 3 seconds 90% time.,PE,connection faster system response time operation must second time
The system shall high availability every day year.The system must available use 12:00AM 6:00PM days year.,A,system shall high availability every day year system must available use day year
The system must available use 7:00AM 11:59PM days year.,A,system must available use day year
The product shall internet browser independent.The product must run using Internet Explorer Netscape Navigator.,MN,product shall internet browser independent product must run using internet explorer netscape navigator
The product shall ensure supervisors advertise empty time slots.The product must ensure supervisors allowed access advertise empty time slots.,SE,product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot
The product shall ensure supervisors enter caller\92s schedule.The product must ensure supervisors allowed access advertise empty time slots.,SE,product shall ensure supervisor enter caller schedule product must ensure supervisor allowed access advertise empty time slot
The product shall ensure supervisors view schedule callers.The product must ensure supervisors allowed access advertise empty time slots.,SE,product shall ensure supervisor view schedule caller product must ensure supervisor allowed access advertise empty time slot
The interface shall simple look. In interface usability survey 90% beta testers must report interface adequately simple.,LF,interface shall simple look interface usability survey beta tester must report interface adequately simple
The interface shall appealing callers supervisors. In interface usability survey 80% beta testers must report interface appealing.,LF,interface shall appealing caller supervisor interface usability survey beta tester must report interface appealing
The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges predict determine problems also provide internal external support.,LF,product shall provide gui based monitoring service system administrator shall monitor message exchange predict determine problem also provide internal external support
The product shall comply City Chicago Application Development Guide Framework.Application Development Framework provide structured Graphical User Interface.,LF,product shall comply city chicago application development guide framework application development framework provide structured graphical user interface
The product shall provide Monitoring Services.The product shall easy System Administrators DBAs use two weeks usage.,US,product shall provide monitoring service product shall easy system administrator dba use two week usage
