Requirement Text,Kategori
Supports the ability for students taking the online assessment to change answers for each section of the assessment before submitting the test.,UInR
"The system has the ability to enter grades and grade comments/feedback by teachers and students to communicate via type written, video and audio means.",UInR
Allows assessment author to specifically order questions on the assessment.,UInR
"Provides the ability to search, filter, and view staff development offerings whether offered by the school district or other organizations",UInR
Supports the ability to automatically suggest professional development to a teacher when that teacher’s students are performing below standard on a particular learning objective.,UInR
Allows students to: a. enter and modify information into their own work samples repository b. export and store artifacts to external medium c. interact with students based on what the students have entered and provide feedback d. view and/or enter student work samples or exemplars e. view and/or enter their own professional learning artifacts f. remove material entered by students (based upon acceptable use policy),UInR
Provides for class specific information that optionally permits: a. class announcements b. teacher phone and e-mail contacts c. class syllabus d. course of study e. homework assignments f. reading lists,UInR
Provides for access to classroom specific web pages that optionally permits: a. class announcements b. teacher phone and e-mail contacts c. class syllabus d. homework assignments e. homework lockbox for student submission of work f. links to videos and Podcasts,UInR
"Provides end-users (students, parents, teachers, and administrators) online help within the application that is context sensitive and is searchable with predictive searching: a. keyword(s), concept(s), metatag, or phase b. index or table of contents c. procedural help with specific tasks d. media type e. roll-over",UInR
"Provides end-users (students, parents, teachers, and administrators) with online tutorials that are of a procedural nature in the use of all LMS system components",UInR
"Provides users the ability to subscribe, unsubscribe, and receive notifications of: a. best practices documents b. LMS procedural documents c. function updates d. security updates e. emergency notifications",UInR
"Tracks usage statistics for online help, especially FAQs, which include a ""Was this helpful?"" component",UInR
Provides 'quick-start' procedural sheets to aid users in getting started using the LMS,UInR
Provides a demonstration environment with hands-on experience,UInR
Manages end-user registration with reminder notification and addition to personal calendar,UInR
Provides the ability to view on-demand videos of LMS training on a modular basis,UInR
Provides the ability to view on-demand videos on effective practice,UInR
Manages end-user registration with reminder notification and addition to personal calendar,UInR
"Provides features to minimize data entry effort by reusing data previously entered, where appropriate. ",UInR
"Provides ""preview"" of data prior to import or export",UInR
Allows the user to identify any data element that must be tracked for changes,UInR
Capable of editing and validating dates at the time of data entry or ingestion.,UInR
"Provides the ability to track administrator, teacher, student, and parent use of system",UInR
Accommodates associating multiple parent/guardian accounts with a given student account. ,UInR
The system must support custom fields.,UIR
The system must provide rich text editor with html capabilities.,UIR
The system must display unique ID numbers for courses and events.,UIR
The LMS must present course completion certificates.,UIR
"The system must display all enrollees in a course by status in class offerings; For example, approved or pending approval.",UIR
The system must display and print reports that present the progress of the student in a training curriculum.,UIR
The system must present a course enrollment status which includes number of students enrolled.,UIR
The system must manage and display individual student transcripts.,UIR
Ability to add audio/video components to quizzes or exams,UIR
The site will provide course study material to the students in electronic form.,UIR
"All the information including course details, fee structure and notices for students will also be displayed on the site.",UIR
"The site will be used by three different types of users: Students, Faculties, and the administrators having different interface for each type of user.",UIR
The system shall have the capability of customizing the LMS user interface to accommodate different languages.,UIR
"The system shall allow for creation of customized dashboards for different types of users (e.g. content developers, instructors, project leads, trainees).",UIR
The system shall support programmatic branding options for all types of training.,UIR
The system shall display when it is not available due to backup/maintenance schedules.,UIR
The system shall provide an interface for viewing every type of upload it allows.,UIR
Provides a spelling checker while in authoring mode.,UIR
Provides a grammar checker while in authoring mode.,UIR
The system has contextually appropriate help resources that are accessible from all pages and provide end-user specific assistance.,UIR
"Contextually appropriate help files are accessible from all pages and provide assistance for students, faculty, and system administrators as appropriate.",UIR
Accommodates template/wizard driven creation of teacher websites within the system,UIR
"Allows for ""Announcement"" mechanism as students log into system or course to provide: a. textual and audio announcements, b. video links, c. multi-media, d. interactive learning objects",UIR
"Provides virtual tools required for student response to questions (e.g., rulers, protractors, etc.).",UIR
"The system has a process of bookmarking within a course, which allows students to return to the last assessed portion of the course.",UIR
Provides ability for administrators to export staff development results to Microsoft Excel for analysis,UIR
"Provides online and print versions of documentation with internal hotlinks to include: a. LMS modular description b. FAQs c. procedural ""how to"" documentation, step by step manual d. administrator's user guide e. Quick Start user guide",UIR
Provides personalized user interface views based on individual or group (role) settings,UIR
Provides “spell checking” ability for narrative fields,UIR
Allows for customization of secure login screen to local layout standards and to integrate with local directory services to facilitate single sign-on.,UIR
The system is capable of allowing the user to customize their profile and instructor level controls concerning the profile.,UIR
Uses techniques such as drop down lists to minimize data input errors.,UIR
Allows data fields on input forms to be designated as required or optional.,UIR
Users must be able to access the LMS system and its features via a mobile friendly browser based interface or a mobile application.,U
The system must provide contextual On- Line Help,U
The system must support closed- captioning for computer based training,U
"The system must meet the Section 508 and WCAG 2.0, A and AA most current requirements.",U
The system must support closed- captioning for computer based training,U
The video quality should be clear and good .The audio could be heard well. The video and audio of lectures should be synchronised well,U
The language used in the interface should be formal and polite.,U
"Ability to set different assessment time frames for individual students (e.g., students with disabilities who need more time)",U
Ability to add captions to assessments,U
"Learners must be able to access the LMS and its content in their native language, and learner interface must be available in multiple languages",U
The LMS must support specific country regulations related to security and accessibility,U
"Since all users are familiar with the general usage of browsers, no specific training is required",U
The system is user friendly and self-explanatory,U
There should be a Content Management System (CMS) for content providers.,U
The system provides a help and support menu in all interfaces for the user to interact with the system.,U
The user can use the system by reading help and support.,U
The system shall have a tutorial for system familiarization training.,U
System is pre-loaded with wizards and template for rapid content development,U
"Provides the ability to ""rate"" instructional content and enter reviews and comments as part of the vetting process by teacher or district",U
Allows staff to create items on the fly by copying and pasting from word processing documents or other files,U
System accommodates customizable layout and design,U
System utilizes drag and drop content creation and management,U
The system provides comprehensive support features and resources customized for each end user.,U
"The system has a process of creating, updating, and sharing journals, blogs, discussion boards or forums for asynchronous discussions",U
Supports social networking collaboration tools for information sharing,U
"Allows question text to be enhanced with underline, bold, italics, superscripts, subscripts, fractions, etc.",U
"Provides accessibility options to meet presentation accommodations including, but not limited to: a. ability to self-select print size or magnification b. provides graphics and text-based user interfaces c. minimize scrolling difficulties d. minimize negative effects of magnification on graphics and tables e. ability to self-select audio (screen reader), alternate language, or signed versions of instructions and test items, where appropriate f. ability to use color contrast for background and overlying text (high contrast resolution).",U
"Provides a calendar view (month, week, day) for lessons, assignments, assessments for teachers and students",U
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,U
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,U
The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,U
The system shall be used by realtors with no training.,U
The system shall be intuitive and self explanatory.,U
The product shall be easy for a realtor to learn.,U
The product shall use symbols and words that are naturally understandable by the realtor community.,U
The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,U
90% of untrained realtors shall be able to install the product on their device without printed instructions,U
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,U
All of the users shall be able to use the system after one day of training.,U
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,U
The number of mistakes noted by the students shall be decreased by 50% in the first year.,U
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,U
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,U
The system shall use symbols and words that are naturally understandable by the user community.,U
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,U
The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,U
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,U
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,U
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,U
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,U
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,U
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,U
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,U
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,U
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,U
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,U
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,U
The product shall allow the user to select a chosen language from one of the target market countries.,U
The product shall allow for customization of start page and views preferences.,U
An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,U
The product shall use a standard navigation menu familiar to most web users.,U
The product shall allow for intuitive searching of available conference rooms.,U
The product shall conform to the Americans with Disabilities Act.,U
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,U
Every registered user will have access to the product\92s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,U
The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,U
The product shall be able to display calendar dates and times according to the user\92s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,U
The product should be able to be used by 90% of novice users on the Internet.,U
Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,U
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,U
An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,U
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,U
The product shall retain the customer\92s buying preferences and information.,U
The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,U
The product shall use symbols and words that are naturally understandable by users familiar with websites,U
The website will use standard Internet conventions when interacting with the user.,U
The website will provide a help section with answers and solutions to common problems.,U
The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,U
The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,U
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,U
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,U
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,U
The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,U
The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),U
The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,U
The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,U
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report),U
A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,U
All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),U
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,U
A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,U
Users shall be able to reach the \91add\92  \91drop\92  and \91trade player\92 pages with one click from the team owner\92s page.,U
Users shall be able to view at least 25 NFL player statistics and points on each page.,U
The application shall ask the user to confirm dropping a player or trading a player before performing the action.,U
The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,U
The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.,U
The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.,U
The system must be quickly accessible by both managers and chefs.,U
The system must be intuitive and simple in the way it displays all relevant data and relationships.,U
The menus of the system must be easily navigable by the users with buttons that are easy to understand.,U
95% of users will not need to read the user manual to be able to use the application.,U
The system shall allow the user to scroll the campus map from the campus map tab.,U
The system shall provide a way to return to the startup screen.,U
The system should need to be entirely self-supporting since the users would be using it only to register courses.,U
The system shall provide a digital image for each product in the product catalog.,U
The system shall provide use of icons and toolbars.,U
The system shall provide handicap access.,U
The system shall provide multi language support.,U
The system shall confirm all transactions with the customer's web browser.,U
The user interface of the system should be very user friendly.,U
It should not take more than 120 seconds for a new user to register for an account.,U
It should not take more than 90 seconds for a registered user to place an order.,U
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout,U
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,U
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,U
The system shall operate within the Windows XP Professional operating system.,U
The system shall interface with CampusConnect\92s central server,U
The system shall interface with the faculty central server.,U
The system shall interface with the student master server.,U
We must be able to interface with any HTML browser.,U
The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday \96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,U
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,U
The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,U
The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,U
The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,U
The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,U
The product must support Internet Explorer 5.5 and above.,U
The product must support Mozilla Firefox 1.0 and above.,U
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,U
The product shall run on the existing hardware for all environments.,U
The product shall adhere to the corporate Architecture guidelines,U
For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,U
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,U
The maintenance of the product will fall within the established corporate maintenance windows.,U
The product shall be supported using the corporate support center.,U
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,U
The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,U
The product will function alongside server software on any operating system where the Java runtime can be installed.,U
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,U
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,U
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,U
The product shall be used in office environments.,U
The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,U
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,U
The product must be able to interface with various email servers. The product shall be able to send email.,U
The product shall be available for distribution via the Internet as a binary or ZIP file.,U
The product shall be available for distribution as a packaged CD.,U
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,U
The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,U
The product shall be able to be installed in any operating environment within 2 days.,U
The product must be developed with the J2SE/J2EE programming language libraries,U
The System shall utilize currently owned computer equipment.,U
The System shall be able to automatically backup business data and restore them on demand.,U
The System shall not require additional third party licenses resulting in royalty fees.,U
All aspects of the website shall be accessed by a web browser over the Internet.,U
The same hardware supporting the current website will be used to support the new system.,U
We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.,U
Website must interface with the CyberSource API to process credit card transactions.,U
Website must be fully operational with MSN TV2.,U
Movies shall be encoded and streamed via Windows Media Player 9.0.,U
Movies shall be encoded for 56k and 256k streams.,U
The product shall be able to be installed in the specified environment within 1 working day.,U
The website should use Flash to provide animation on the home page.,U
The lead washing process will operate within the established physical web service structure.,U
The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,U
The product shall be platform independent.The product shall enable access to any type of development environment and platform.,U
The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,U
The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,U
The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,U
The application shall run on a web application server.,U
A primary database will be used to store cached data for active users.,U
A secondary database will be used to store historical statistics and data.,U
98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.,U
98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,U
The RFS system should be able to easily interface with the BDW environment in order to load the data. \95 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.,U
"The system shall be evoked by typing ""pine"" into a command or shell prompt.",U
The system shall use the SMTP mail protocol.,U
The meeting scheduler shall be accessed from the Web.,U
All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,U
The system shall utilise periodic 30-second keep-alive messages between tablets and the server to monitor tablet operational status.,U
Flea Market system will interface with the web server and RDBMS software using APIs provided by the implementation language,U
It must only update the parts that have changed when connecting to the server.,U
It must be able to change and update information on the server.,U
The system should have to keep the location where the doughnut will be send.,U
The system provides storage of all databases on redundant computers with automatic switchover.,U
The system should be able to manage all the information incoming from the database and the catalogue.,U
For the system to successfully operate the registration system should be integrated with other IT services and the portal.,U
The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,U
The system shall be compatible with the Microsoft Windows Operating System.,U
The product shall be based on web and has to be run from a web server.,U
The system shall refresh the display every 60 seconds.,PE
The product shall respond fast to keep up-to-date data in the display.,PE
The product shall produce search results in an acceptable time,PE
The search results shall be returned no later 30 seconds after the user has entered the search criteria,PE
The product shall generate a CMA report in an acceptable time.,PE
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
The product shall synchronize contacts and appointments in an acceptable time.,PE
The product shall synchronize with the office system every hour.,PE
Staff members shall be able to complete a set of tasks in a timely manner.,PE
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE
The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE
The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PE
The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PE
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
The response shall be fast enough to avoid interrupting the user\92s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PE
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE
The System shall allow for a minimum of 6 users to work at the same time.,PE
Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE
Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PE
System shall let customers register on the website as a \93pay as you go\94 user in under 5 minutes.,PE
System shall let customers register on the website as a \93unlimited movie subscriber\94 user in under 10 minutes.,PE
System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE
System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PE
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE
System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PE
System shall let the administrator add/remove categories on the website in under 5 minutes.,PE
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PE
Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PE
When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,PE
When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user\92s connection.),PE
While streaming a movie buffering should only occur if there is latency in the user\92s connection.,PE
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE
Izogn Administrator must be able to add new products to the website within 2 minutes.,PE
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PE
No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE
For leads that process longer than 25 seconds the system will record the event and duration,PE
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE
The product shall able to handle a large number of games simultaneously.,PE
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE
The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,PE
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,PE
The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PE
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PE
The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE
The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PE
The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PE
The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PE
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PE
All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,PE
Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.,PE
The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.,PE
Responses to view information shall take no longer than 5 seconds to appear on the screen.,PE
High level of performance requires high speed network and high level of connectivity.,PE
The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.,PE
The web application shall add no more than 5 seconds of perceivable overhead time to any necessary web and database transaction time.,PE
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,PE
The performance shall depend upon hardware components of the client/customer.,PE
Any page of the application should not take more than 6 seconds to load on a DSL broadband connection.,PE
The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.,PE
The application should be able to support 100 concurrent users without any performance degradation.,PE
The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.,PE
The system shall have a MDI form that allows for the viewing of the graph and the data table.,UIR
The system shall display Events in a vertical table by time.,UIR
The system shall display the Events in a graph by time.,UIR
The system shall display Events or Activities.,UIR
The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,UIR
The system shall color code events according to their variance from current time.,UIR
The system shall allow modification of the display.,UIR
The system shall offer a display of all the Events in the exercise.,UIR
The system shall display the local and exercise time in separate clocks,UIR
The system shall display clear property images in the search results,UIR
The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.,UIR
The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,UIR
The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,UIR
A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,UIR
The audit report shall be displayed to the user.,UIR
The product shall display a map of the company building showing conference room locations.,UIR
The product shall display room equipment according to search parameters.,UIR
The product shall display conference rooms according to search parameters.,UIR
The product shall have a customizable Look and Feel.,UIR
The product shall have an intuitive user interface.,UIR
The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,UIR
viewing a movie details the website will display the movies description actor and director entered in by the administrator.,UIR
Once a game is initiated the product shall display a defensive grid to each player,UIR
Once a game is initiated the product shall display an offensive grid to each player.,UIR
The system shall display and embed in each message a date/timestamp of when the message was sent.,UIR
All information must be viewable on the website.,UIR
All information must be updatable on the website.,UIR
The font will be larger enough for easy reading.,UIR
Icons will clearly illustrate the feature it represents.,UIR
Basic Patient information is showed first.,UIR
Customized information is displayed.,UIR
Each entry is shown in full.,UIR
The text and time/date of a note that has been entered is displayed starting with most recent.,UIR
The system shall show the meetings to the user in ascending time order by default.,UIR
The system shall display all the products that can be configured.,UIR
The system shall allow user to select the product to configure.,UIR
The system shall display all the available components of the product to configure.,UIR
The system shall display detailed information of the selected products.,UIR
The system shall provide browsing options to see product details.,UIR
The system shall display detailed product categorization to the user.,UIR
The system shall enable user to enter the search text on the screen.,UIR
The system shall enable user to select multiple options on the screen to search.,UIR
The system shall display all the matching products based on the search.,UIR
The system shall display only 10 matching result on the current screen.,UIR
The system shall enable user to navigate between the search results.,UIR
The system shall notify the user when no matching product is found on the search.,UIR
The system shall display both the active and completed order history in the customer profile.,UIR
The system shall display the detailed information about the selected order.,UIR
The system shall display the most frequently searched items by the user in the profile.,UIR
The system shall display the customer support contact numbers on the screen.,UIR
The system shall display the online help upon request.,UIR
The system shall display the FAQ's upon request.,UIR
The system shall display detailed invoice for current order once it is confirmed.,UIR
The system shall display different shipping options provided by shipping department.,UIR
The system shall display the shipping charges.,UIR
The system shall display tentative duration for shipping.,UIR
The system shall display the current tracking information about the order.,UIR
The system shall display tax information for the order.,UIR
The system shall display available payment methods for payment.,UIR
The system shall display the orders that are eligible to change.,UIR
The system shall display all the available financing options.,UIR
The system shall allow user to view detailed sitemap.,UIR
The system shall display all the available promotions to the user.,UIR
The product shall allow the user to save the property search results.,UInR
The system shall allow a user to define the time segments,UInR
The system shall offer the ability to pause and resume the refresh of data.,UInR
The user shall be able to get driving directions to a selected property,UInR
The user shall be able to download appointments and contact information for clients,UInR
The system shall notify the realtor when a seller or buyer responds to an appointment request,UInR
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,UInR
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,UInR
A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,UInR
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,UInR
The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,UInR
The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,UInR
The system shall locate the preferred repair facility with the highest ratings for the input criteria,UInR
